ED,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
17,G00000242,1 AVE,NA,1 AVE,NA,33,49,30,50,503,geo,IN
19,G00000243,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,504,geo,IN
12,G00000244,W 179,NA,W 179,NA,NA,NA,NA,NA,505,geo,IN
18,G00000246,PARK AVE S,NA,PARK AVE S,NA,394,404,389,405,507,geo,IN
16,G00000249,9 AVE,NA,9 AVE,NA,321,339,314,334,510,geo,IN
9,G00000251,W 12,NA,W 12,NA,21,79,20,78,512,geo,IN
12,G00000252,W END AVE,11 AVE,W END AVE,NA,NA,NA,NA,NA,513,geo,IN
18,G00000253,MADISON AVE,NA,MADISON AVE,NA,120,134,119,131,514,geo,IN
18,G00000254,E 24,NA,E 24,NA,1,27,2,28,515,geo,IN
12,G00000258,YORK AVE,NA,YORK AVE,NA,NA,NA,NA,NA,519,geo,IN
17,G00000261,LUDLOW,NA,LUDLOW,NA,133,159,134,160,522,geo,IN
17,G00000264,E 5,NA,E 5,NA,48,86,49,89,524,geo,IN
12,G00000267,W 124,NA,W 124,HARLEM LN,NA,NA,NA,NA,527,geo,IN
12,G00000268,E 123,NA,E 123,NA,NA,NA,NA,NA,528,geo,IN
11,G00000271,SZOLD PL,DRY DOCK,SZOLD PL,NA,2,6,1,7,531,geo,IN
18,G00000274,E 39,NA,E 39,NA,NA,NA,NA,NA,534,geo,IN
18,G00000275,IRVING PL,NA,IRVING PL,NA,15,33,14,34,535,geo,IN
19,G00000276,E 75,NA,E 75,NA,NA,NA,NA,NA,536,geo,IN
19,G00000277,3 AVE,NA,3 AVE,NA,NA,NA,NA,NA,537,geo,IN
7,G00000279,JACKSON,NA,JACKSON,NA,46,60,47,61,539,geo,IN
18,G00000281,3 AVE,NA,3 AVE,NA,216,230,221,237,541,geo,IN
12,G00000283,W 120,NA,W 120,NA,NA,NA,NA,NA,543,geo,IN
18,G00000285,E 25,NA,E 25,NA,51,85,50,86,545,geo,IN
8,G00000286,SPRING,NA,SPRING,NA,106,126,107,125,546,geo,IN
18,G00000297,5 AVE,NA,5 AVE,NA,172,182,165,185,556,geo,IN
19,G00000298,2 AVE,NA,2 AVE,NA,883,899,884,900,557,geo,IN
19,G00000302,9 AVE,NA,9 AVE,NA,525,541,514,530,561,geo,WN
19,G00000303,C W P,NA,C W P,NA,NA,NA,NA,NA,562,geo,IN
19,G00000304,W END AVE,NA,W END AVE,NA,NA,NA,NA,NA,563,geo,IN
19,G00000305,5 AVE,NA,5 AVE,NA,NA,NA,NA,NA,564,geo,IN
17,G00000306,FORSYTH,NA,FORSYTH,NA,193,221,194,222,565,geo,IN
12,G00000307,F DOUGLAS BLVD,NA,F DOUGLAS BLVD,NA,NA,NA,NA,NA,566,geo,IN
16,G00000310,7 AVE,NA,7 AVE,NA,160,174,159,173,569,geo,IN
12,G00000312,W 127,NA,W 127,NA,NA,NA,NA,NA,571,geo,IN
19,G00000314,E 72,NA,E 72,NA,NA,NA,NA,NA,573,geo,IN
6,G00000315,LAFAYETTE,ELM,LAFAYETTE,NA,76,84,73,81,574,geo,IN
19,G00000317,YORK AVE,NA,YORK AVE,NA,NA,NA,NA,NA,576,geo,IN
12,G00000318,W 130,NA,W 130,NA,NA,NA,NA,NA,577,geo,IN
18,G00000319,2 AVE,NA,2 AVE,NA,533,551,534,550,578,geo,IN
19,G00000320,E 80,NA,E 80,NA,NA,NA,NA,NA,579,geo,IN
10,G00000321,CHRYSTIE,NA,CHRYSTIE,NA,153,175,152,174,580,geo,IN
12,G00000323,E 131,NA,E 131,NA,NA,NA,NA,NA,582,geo,IN
19,G00000324,W END AVE,NA,W END AVE,NA,NA,NA,NA,NA,583,geo,IN
19,G00000327,E 85,NA,E 85,NA,NA,NA,NA,NA,586,geo,IN
12,G00000329,5 AVE,NA,5 AVE,NA,NA,NA,NA,NA,588,geo,IN
19,G00000330,E 67,NA,E 67,NA,NA,NA,NA,NA,589,geo,IN
12,G00000331,F DOUGLAS BLVD,NA,F DOUGLAS BLVD,NA,NA,NA,NA,NA,590,geo,IN
12,G00000332,W 185,NA,W 185,NA,NA,NA,NA,NA,591,geo,IN
2,G00000333,JOHN,BURLING SLIP,JOHN,NA,1,11,2,10,592,geo,IN
19,G00000335,3 AVE,NA,3 AVE,NA,956,968,953,967,594,geo,IN
