OBJECTID,MN_STREET1880_FULL_STREE,MN_STREET1880_Y1880NAMESTREET,MN_STREET1880_Y1880LEFT_LOW,MN_STREET1880_Y1880LEFT_HIGH,MN_STREET1880_Y1880RIGHT_LOW,MN_STREET1880_Y1880RIGHT_HIGH,MN_STREET1880_JOINID,MN_STREET1880_Y1880NAMEALT,MN_STREET1880_MINUS_ED_ED,MN_STREET1880_PLUS_ED_ED
318,,BEDFORT ST,31,37,24,32,G00000054,,220,221
320,,W 115 ST,100,130,101,143,G00000056,,638,638
321,,3 AVE,1764,1782,1765,1783,G00000057,,625,624
322,,MADISON AVE,452,460,439,457,G00000058,,576,576
323,,W 30 ST,100,158,101,157,G00000059,,287,288
326,,AUDUBON AVE,,,,,G00000062,,534,534
327,,E 88 ST,131,179,130,180,G00000063,,599,599
328,,STATE ST,,,1,14,G00000064,,0,1
329,,ACADEMY ST,682,698,683,699,G00000065,,535,535
330,,LEXINGTON AVE,1622,1634,1623,1635,G00000066,,625,625
332,,FULTON ST,20,24,19,23,G00000068,,10,10
333,,W 204 ST,658,682,659,683,G00000069,,535,535
334,,HOWARD ST,1,9,2,10,G00000070,,52,52
335,,E 84 ST,1,37,2,38,G00000071,,591,590
337,,3 AVE,1066,1084,1071,1089,G00000073,,593,617
338,,UNION SQ W,1,15,,,G00000074,,182,0
339,SECOND AVE,SECOND AVE,69,85,72,86,G00000075,,267,267
340,,W 30 ST,501,563,500,554,G00000076,,382,384
341,,W 120 ST,500,546,501,547,G00000077,,529,529
342,,W 4 ST,2,14,1,13,G00000078,,157,164
343,,E 72 ST,501,541,500,540,G00000079,,613,613
344,,ST NICHOLAS AVENUE,1501,1519,1500,1518,G00000080,,535,535
345,FIRST AVE,FIRST AVE,393,409,394,408,G00000081,,428,427
346,,W TENTH ST,154,184,155,181,G00000082,,167,167
347,,MADISON AVE,1770,1782,1771,1783,G00000083,,638,638
348,,FIFTH AVE,,,1453,1463,G00000084,,0,625
349,,W 4 ST,216,230,215,231,G00000085,,232,167
351,,W 49 ST,2,74,1,75,G00000087,,575,575
352,,BETHUNE ST,1,31,2,36,G00000088,,238,238
353,,RIVINGTON ST,268,288,269,289,G00000089,,155,137
354,,E 107 ST,129,183,128,174,G00000090,,630,630
355,,W 171 ST,,,,,G00000091,,534,534
356,,SAINT CLAIR PL,,,67,67,G00000092,,530,530
358,,LENOX AVE,1229,1247,1230,1248,G00000094,,640,640
359,FOURTH AVE,FOURTH AVE,1417,1427,,,G00000095,,623,623
360,SECOND AVE,SECOND AVE,825,841,822,840,G00000096,,544,545
362,,FIFTH AVE,,,1501,1511,G00000098,,0,625
363,,SHERMAN AVE,78,136,77,135,G00000099,,535,535
364,,E 106 ST,25,59,26,60,G00000100,,630,625
365,,MADISON AVE,1102,1112,1103,1119,G00000101,,590,590
366,,E 17 ST,1,27,2,30,G00000102,,186,186
367,,E 60 ST,401,443,400,442,G00000103,,622,622
368,,W 15 ST,300,370,301,371,G00000104,,245,246
369,,SHINBONE ALY,,,,,G00000105,,65,65
370,,E 65 ST,101,135,100,130,G00000106,,587,587
371,,CANAL ST,,,1,21,G00000107,,87,87
372,,MADISON AVE,,,1853,1873,G00000108,,0,641
373,,MADISON AVE,1072,1086,1071,1085,G00000109,,590,590
374,,FIFTH AVE,198,200,,,G00000110,,278,278
375,,W 29 ST,100,164,101,169,G00000111,,287,287
377,,E 103 ST,149,173,148,172,G00000113,,625,625
380,,W 111 ST,,,,,G00000117,,529,529
381,,GROVE ST,47,75,50,76,G00000118,,232,224
382,,E 84 ST,,,,,G00000119,,591,590
383,EIGHTH AVE,EIGHTH AVE,112,115,,,G00000120,CENTRAL PARK WEST,524,0
384,CHATHAM ST,CHATHAM ST,70,124,71,123,G00000121,,39,35
385,,WASHINGTON SQ E,,,75,83,G00000122,,0,158
386,,CENTRE ST,15,23,14,20,G00000123,,38,38
387,,3 AVE,818,836,817,837,G00000124,,539,553
388,,VESTRY ST,49,57,52,56,G00000125,,22,22
391,,3 AVE,640,658,639,655,G00000128,,478,479
392,,W 35 ST,80,98,81,99,G00000129,,294,294
393,,W 73 ST,2,48,1,67,G00000130,,524,524
394,,E 43 ST,37,53,38,52,G00000131,,570,570
395,,WATER ST,96,116,97,117,G00000132,,9,9
396,,W 128 ST,300,310,301,311,G00000133,,530,530
397,,COLUMBUS CIR,1,2,,,G00000134,,506,506
398,,E 37 ST,201,247,200,248,G00000135,,485,485
399,,W 91 ST,200,212,201,215,G00000137,,527,527
400,TENTH AVE,TENTH AVE,738,758,739,759,G00000138,,527,527
402,,MADISON AVE,316,330,317,331,G00000140,,570,570
403,,LITTLE W 12 ST,8,38,7,41,G00000141,,243,244
404,,3 AVE,488,506,489,505,G00000142,,476,490
405,,W 51 ST,216,254,217,255,G00000143,,467,467
406,,THOMPSON ST,1,19,2,20,G00000144,,122,122
407,,E 69 ST,101,109,100,108,G00000145,,587,587
410,,W 120 ST,300,316,301,317,G00000148,,529,529
411,,WILLIAM ST,143,155,142,154,G00000149,,11,11
412,,CONVENT AVE,278,300,279,301,G00000150,,531,531
413,,ELEVENTH AVE,721,735,722,736,G00000151,,449,449
415,,E 15 ST,201,233,200,232,G00000153,,439,439
416,,W 56 ST,222,246,223,247,G00000154,,506,506
417,,E EIGHTH ST,351,399,350,398,G00000155,,321,318
419,,W 87 ST,,,101,175,G00000157,,527,527
420,,BROADWAY,1431,1449,1434,1450,G00000158,,567,567
