Name,Full_Name,Name1880,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
11 AVE,11 AVE,11 AVE,NA,3421,3435,3422,3436,531,531,8523,G00018523
11 AVE,11 AVE,11 AVE,NA,3437,3455,3438,3456,531,531,8524,G00018524
11 AVE,11 AVE,11 AVE,NA,3457,3479,3458,3480,531,531,8525,G00018525
11 AVE,11 AVE,11 AVE,NA,3481,3495,3482,3496,532,532,8526,G00018526
11 AVE,11 AVE,11 AVE,NA,3497,3517,3498,3518,532,532,8527,G00018527
11 AVE,11 AVE,11 AVE,NA,3519,3535,3520,3536,532,532,8528,G00018528
11 AVE,11 AVE,11 AVE,NA,3537,3569,3538,3570,532,532,8529,G00018529
11 AVE,11 AVE,11 AVE,NA,3571,3579,3572,3580,532,532,8530,G00018530
11 AVE,11 AVE,11 AVE,NA,3581,3599,3582,3600,532,532,8531,G00018531
11 AVE,11 AVE,11 AVE,NA,3601,3619,3602,3620,532,532,8532,G00018532
11 AVE,11 AVE,11 AVE,NA,3621,3643,3622,3644,532,532,8533,G00018533
11 AVE,11 AVE,11 AVE,NA,3645,3659,3646,3660,532,532,8534,G00018534
11 AVE,11 AVE,11 AVE,NA,3661,3673,3662,3674,532,532,8535,G00018535
11 AVE,11 AVE,11 AVE,NA,3675,3695,3676,3696,532,532,8536,G00018536
11 AVE,11 AVE,11 AVE,NA,NA,NA,NA,NA,532,532,8537,G00018537
W 138,W 138,W 138,NA,NA,NA,527,541,531,531,8538,G00018538
W 138,W 138,W 138,NA,600,642,601,633,531,531,8539,G00018539
W 139,W 139,W 139,NA,600,640,601,641,531,531,8540,G00018540
W 140,W 140,W 140,NA,600,620,601,629,531,531,8541,G00018541
W 141,W 141,W 141,NA,600,624,601,621,531,531,8542,G00018542
W 142,W 142,W 142,NA,600,626,601,637,531,532,8543,G00018543
W 143,W 143,W 143,NA,600,626,601,621,532,532,8544,G00018544
W 144,W 144,W 144,NA,600,620,601,621,532,532,8545,G00018545
W 145,W 145,W 145,NA,600,620,601,625,532,532,8546,G00018546
W 146,W 146,W 146,NA,600,616,601,615,532,532,8547,G00018547
W 147,W 147,W 147,NA,600,634,601,621,532,532,8548,G00018548
W 148,W 148,W 148,NA,600,622,601,629,532,532,8549,G00018549
W 149,W 149,W 149,NA,600,620,601,611,532,532,8550,G00018550
W 150,W 150,W 150,NA,600,620,601,617,532,532,8551,G00018551
W 151,W 151,W 151,NA,600,630,601,621,532,532,8552,G00018552
W 152,W 152,W 152,NA,600,622,601,635,532,532,8553,G00018553
W 153,W 153,W 153,NA,600,644,NA,NA,532,532,8554,G00018554
W 153,W 153,W 153,NA,500,550,NA,NA,532,532,8555,G00018555
W 152,W 152,W 152,NA,500,560,501,561,532,532,8556,G00018556
W 151,W 151,W 151,NA,500,566,501,555,532,532,8557,G00018557
W 150,W 150,W 150,NA,500,572,501,569,532,532,8558,G00018558
W 149,W 149,W 149,NA,500,568,501,567,532,532,8559,G00018559
