Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
W 170,W 170,NA,12,NA,NA,NA,NA,479,G00000218,NA,12
LIBERTY,LIBERTY,NA,1,58,78,59,77,483,G00000222,NA,2
AVE B,AVE B,NA,17,36,50,37,53,485,G00000224,NA,11
WASHINGTON W SQ,WASHINGTON W SQ,. CLEMENS PL,15,173,175,NA,NA,487,G00000226,MACDOUGAL,15
C W P,C W P,NA,12,NA,NA,NA,NA,488,G00000227,NA,12
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,489,G00000228,NA,12
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,492,G00000231,NA,12
5 AVE,5 AVE,NA,15,NA,NA,NA,NA,496,G00000235,NA,15
1 AVE,1 AVE,NA,18,315,329,324,340,497,G00000236,NA,18
6 AVE,6 AVE,NA,19,825,839,808,824,498,G00000237,NA,19
GREENWICH AVE,GREENWICH AVE,NA,9,119,131,120,132,499,G00000238,NA,9
NASSAU,NASSAU,NA,2,57,69,56,70,500,G00000239,NA,2
5 AVE,5 AVE,NA,19,NA,NA,NA,NA,501,G00000240,NA,19
1 AVE,1 AVE,NA,17,33,49,30,50,503,G00000242,NA,17
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,504,G00000243,NA,19
W 179,W 179,NA,12,NA,NA,NA,NA,505,G00000244,NA,12
PARK AVE S,PARK AVE S,NA,18,394,404,389,405,507,G00000246,NA,18
9 AVE,9 AVE,NA,16,321,339,314,334,510,G00000249,NA,16
W 12,W 12,NA,9,21,79,20,78,512,G00000251,NA,9
W END AVE,W END AVE,NA,12,NA,NA,NA,NA,513,G00000252,11 AVE,12
MADISON AVE,MADISON AVE,NA,18,120,134,119,131,514,G00000253,NA,18
E 24,E 24,NA,18,1,27,2,28,515,G00000254,NA,18
W HOUSTON,W HOUSTON,NA,8,660,684,659,683,517,G00000256,NA,15
YORK AVE,YORK AVE,NA,12,NA,NA,NA,NA,519,G00000258,NA,12
LUDLOW,LUDLOW,NA,17,133,159,134,160,522,G00000261,NA,17
E 5,E 5,NA,17,48,86,49,89,524,G00000264,NA,17
W 124,W 124,HARLEM LN,12,NA,NA,NA,NA,527,G00000267,NA,12
E 123,E 123,NA,12,NA,NA,NA,NA,528,G00000268,NA,12
SZOLD PL,SZOLD PL,NA,11,2,6,1,7,531,G00000271,DRY DOCK,11
E 39,E 39,NA,18,NA,NA,NA,NA,534,G00000274,NA,18
IRVING PL,IRVING PL,NA,18,15,33,14,34,535,G00000275,NA,18
E 75,E 75,NA,19,NA,NA,NA,NA,536,G00000276,NA,19
3 AVE,3 AVE,NA,19,NA,NA,NA,NA,537,G00000277,NA,19
JACKSON,JACKSON,NA,7,46,60,47,61,539,G00000279,NA,7
3 AVE,3 AVE,NA,18,216,230,221,237,541,G00000281,NA,18
W 120,W 120,NA,12,NA,NA,NA,NA,543,G00000283,NA,12
E 25,E 25,NA,18,51,85,50,86,545,G00000285,NA,18
SPRING,SPRING,NA,8,106,126,107,125,546,G00000286,NA,8
5 AVE,5 AVE,NA,18,172,182,165,185,556,G00000297,NA,18
2 AVE,2 AVE,NA,19,883,899,884,900,557,G00000298,NA,19
9 AVE,9 AVE,NA,19,525,541,514,530,561,G00000302,NA,19
