OBJECTID,MN_STREET1850_FULL_STREE,MN_STREET1850_Y1850NAMESTREET,MN_STREET1850_Y1850LEFT_LOW,MN_STREET1850_Y1850LEFT_HIGH,MN_STREET1850_Y1850RIGHT_LOW,MN_STREET1850_Y1850RIGHT_HIGH,MN_STREET1850_JOINID,MN_STREET1850_Y1850NAMEALT,Ward_Right_1850,Ward Left 1850
5957,,HESTER ST,110,122,109,119,G00005855,,10,10
5958,,COENTIES SLIP,2,6,,,G00005856,,1,1
5959,,MARKET ST,24,38,23,37,G00005857,,7,7
5960,,W 43 ST,312,374,311,367,G00005858,,19,19
5961,,W 28 ST,170,222,171,221,G00005859,,16,16
5962,,W 75 ST,,,,,G00005860,,19,19
5963,,TENTH AVE,441,453,440,454,G00005861,,16,16
5965,,LEX AVE,18,30,19,29,G00005863,,18,18
5966,,BEAVER ST,33,57,32,58,G00005864,,1,1
5968,,W 27 ST,24,50,15,49,G00005866,,18,18
5970,,W END AVE,,,,,G00005868,,19,19
5972,,ELEVENTH AVE,565,581,564,580,G00005870,,19,19
5973,,W 27 ST,52,110,63,109,G00005871,,16,16
5974,,SEVENTH AVE,,,,,G00005872,,19,19
5975,TENTH AVE ,AMSTERDAM AVE,,,,,G00005873,,12,12
5976,,SAINT NICHOLAS' PL,,,,,G00005874,,12,12
5977,,6 AVE,479,495,480,496,G00005875,,18,16
5979,,FIRST AVE,,,,,G00005877,,19,19
5980,,W 84 ST,,,,,G00005878,,19,19
5982,,W 61 ST,,,,,G00005880,,19,19
5983,,PINE ST,86,88,85,89,G00005881,,1,1
5984,,SOUTH ST,76,77,,,G00005882,,2,2
5985,,FIRST AVE,109,125,118,132,G00005883,,17,17
5986,,2 AVE,101,115,100,114,G00005884,,17,17
5987,,W 26 ST,242,304,243,305,G00005885,,16,16
5988,,FIFTH AVE,,,,,G00005886,,19,19
5989,,SEVENTH AVE,2,10,1,15,G00005887,,9,9
5990,,FIRST AVE,,,,,G00005888,,12,12
5991,,W HOUSTON ST,700,720,701,721,G00005889,,15,8
5992,,W 70 ST,,,,,G00005890,,19,19
5994,622,WATER ST,622,624,,,G00005892,,7,7
5995,,W 26 ST,178,240,177,241,G00005893,,16,16
5997,KINGS BRIDGE RD,SAINT NICHOLAS AVE,,,,,G00005895,,12,12
5998,,W 85 ST,,,,,G00005896,,19,19
5999,,W 66 ST,,,,,G00005897,,19,19
6001,,GRAND ST,2,16,1,17,G00005899,,8,8
6002,,W 42 ST,168,220,167,219,G00005900,,19,19
6004,,W 95 ST,,,,,G00005902,,12,12
6010,,BROADWAY,665,679,660,680,G00005908,,15,15
6012,,WAVERLY PL,98,130,101,131,G00005910,,15,15
6013,,COLUMBIA ST,69,101,74,102,G00005911,,11,11
6014,,FIRST AVE,,,,,G00005912,,18,18
6019,,SAINT NICHOLAS AVE,,,,,G00005917,,12,12
6020,,W 11 ST,136,198,137,199,G00005918,,9,9
6021,,SAINT NICHOLAS AVE,,,,,G00005919,,12,12
6024,,W END AVE,,,,,G00005922,,19,19
6025,,W 58 ST,,,,,G00005923,,19,19
6026,,W 4 ST,169,181,170,182,G00005924,,9,9
6027,,2 AVE,1021,1037,1022,1038,G00005925,,19,19
6030,,E 30 ST,401,431,402,432,G00005928,,None,None
6031,,E 39 ST,39,59,40,60,G00005929,,18,18
6032,,A AVE,55,71,54,68,G00005930,,17,17
6033,,PRINCE ST,32,46,33,45,G00005931,,14,14
6034,,W 39 ST,2,46,1,43,G00005932,,18,18
6038,,PARK AVE,,,579,597,G00005936,,18,18
6040,,EIGHTH AVE,,,1,10,G00005938,,9,9
6041,,CROSBY ST,2,24,1,25,G00005939,,14,14
6042,,W 4 ST,25,33,26,34,G00005940,,9,9
6043,,YORK AVE,,,,,G00005941,,19,19
6044,,MADISON AVE,72,86,77,85,G00005943,,18,18
6047,,BEDFORD ST,93,109,88,106,G00005946,,9,9
6050,,MADISON ST,157,199,158,200,G00005949,,7,7
6051,,9 AVE,107,121,108,124,G00005950,,16,16
6052,,DOMINICK ST,2,20,1,19,G00005951,,8,8
6054,,E 4 ST,345,393,370,394,G00005953,,15,15
6055,,C P W,,,,,G00005954,,19,19
6056,,9 AVE,301,319,296,312,G00005955,,16,16
6059,,JANE ST,,,,,G00005958,,9,9
6060,,BROOME ST,413,427,414,430,G00005959,,14,14
6061,,AMSTERDAM AVE,,,,,G00005960,,19,19
